,RNA_S_C1,RNA_S_C2,RNA_S_C3,RNA_R_C1,RNA_R_C2,RNA_R_C3,RNA_S_T1,RNA_S_T2,RNA_S_T3,RNA_R_T1,RNA_R_T2,RNA_R_T3
145845,9.14883240180875,7.69190240287163,3.17782073080963,40.8996593634501,30.7389838420111,40.2821775867307,3.60719167344385,4.92086684183889,1.92353322376925,23.4776432982162,35.5574503353044,29.4018780068319
4212,2118.86958425891,2211.42194082559,2188.4592099509,4332.13497204965,4307.84902128756,4486.98700341084,1461.81442566312,1411.30461023939,1367.63212209993,2691.47702770751,2861.89424590639,2750.05565623901
107984773,21.0423145241601,31.7290974118455,18.0076508079212,2.1526136507079,4.39128340600159,4.47579750963674,19.8395542039412,29.5252010510333,18.2735656258078,2.81731719578594,1.92202434244889,0.980062600227729
107984760,11.8934821223514,14.4223170053843,8.47418861549235,8.6104546028316,3.29346255450119,13.4273925289102,17.1341604488583,29.5252010510333,17.3117990139232,7.51284585542918,14.4151825683667,9.80062600227729
161742,1752.91628818656,1864.32484489601,1901.3960706011,748.033243620995,821.169996922298,830.260438037616,1206.60561476697,1204.62820288216,1280.11136041843,712.781250533844,732.291274473026,708.585259964648
283742,820.650266442245,920.143824943519,825.174116433568,429.446423316226,533.540933829193,530.382004891954,583.463253179543,727.304119223787,670.351328483583,594.453928310834,606.398680042624,506.692364317736
10125,58.552527371576,55.7662924208193,70.9713296547484,23.6787501577869,17.5651336240064,24.6168863030021,54.1078751016578,67.9079624173766,52.8971636536543,28.1731719578594,34.59643816408,27.4417528063764
105370774,12.8083653625322,15.3838048057433,15.8891036540482,4.3052273014158,1.0978208515004,4.47579750963674,16.2323625304973,16.7309472622522,14.4264991782694,11.2692687831438,9.61012171224444,11.7607512027327
7057,2467.44009876782,2669.09013379646,2407.72884037676,9.68676142818555,6.58692510900239,4.47579750963674,1919.92776819049,1916.18554821206,1868.71252689182,10.3301630512151,6.72708519857111,7.84050080182183
161835,48.4888117295864,39.4209998147171,47.6673109621445,18.2972160310171,23.0542378815084,26.8547850578205,31.5629271426337,39.3669347347111,46.1647973704619,18.782114638573,30.7523894791822,25.481627605921
105370941,34.7655631268732,44.2284388165119,40.2523959235887,15.0682955549553,16.467312772506,20.1410887933653,25.250341714107,31.4935477877689,32.7000648040772,23.4776432982162,22.1032799381622,15.6810016036437
11245,7.319065921447,6.73041460251267,3.17782073080963,219.566592372206,203.096857527574,173.437153498424,4.50898959180482,17.71512063062,6.73236628319236,153.07423430437,159.528020423258,152.889765635526
440275,1354.94207870788,1276.85579887669,1378.11492359444,1314.17063375717,1255.90705411646,1234.20116328233,1132.65818546137,1105.22669267701,1123.34340268124,1027.38167072994,1079.21666828505,1120.21155206029
6727,1106.09383737868,1121.09477521854,1130.24490659129,982.668131548156,977.060557835354,1107.75988363509,1342.77710043947,1460.51327865778,1408.02631979909,1178.57769357045,1186.85003146219,1128.05205286212
100131089,17.3827815634366,13.4608292050253,14.8298300771116,1.07630682535395,5.48910425750199,3.35684813222756,16.2323625304973,7.87338694694222,12.5029659545001,7.51284585542918,3.84404868489778,5.88037560136637
90427,21.0423145241601,15.3838048057433,11.652009346302,5.38153412676975,3.29346255450119,2.23789875481837,24.348543795746,17.71512063062,21.1588654614617,3.75642292771459,5.76607302734666,1.96012520045546
701,1569.0247569102,1563.37916338366,1593.14745971256,1938.42859246246,1955.21893652221,2070.05634820699,1097.48806664529,1162.30874804234,1217.59653064593,1449.97925009783,1564.52781475339,1484.79483934501
107984763,36.595329607235,29.8061218111276,28.6003865772867,22.6024433324329,42.8150132085155,53.7095701156409,19.8395542039412,27.5568543142978,18.2735656258078,37.5642292771459,33.6354259928555,36.262316208426
106821730,26.5316139652454,28.8446340107686,30.7189337311598,35.5181252366803,41.7171923570151,40.2821775867307,23.446745877385,25.5885075775622,24.0441652971156,34.74691208136,30.7523894791822,26.4616902061487
100505573,290.932870377518,305.753120514147,227.743819041357,252.932103958178,229.444557963583,210.362482952927,365.22815693619,386.780133768536,363.547779292388,324.930583247312,348.847418154473,322.440595474923
388115,1.82976648036175,2.88446340107686,0,8.6104546028316,5.48910425750199,8.95159501927349,23.446745877385,16.7309472622522,29.8147649684233,12.2083745150724,9.61012171224444,14.7009390034159
85455,39.3399793277776,33.6520730125634,42.3709430774617,1.07630682535395,1.0978208515004,1.11894937740919,29.7593313059118,20.6676407357233,30.7765315803079,4.69552865964324,0.961012171224444,0.980062600227729
90417,656.886166449868,659.580631046242,620.734316084815,876.113755838115,844.224234803806,892.92160317253,570.83808232249,601.329928072712,580.907033578313,706.207510410343,677.513580713233,682.123569758499
3712,524.228096623641,537.471680400655,519.044052698906,799.695971237985,743.224716465769,690.391765861468,549.194932281827,470.434870079797,503.003938015658,720.294096389273,725.564189274455,852.654462198124
22893,967.946468111365,873.992410526289,903.560361126872,913.784494725503,879.354502051819,803.405652979795,836.868468238974,722.383252381948,743.445590986814,752.223691274847,771.692773493228,862.455088200402
113189,466.590452492246,453.822241769426,442.776355159475,335.807729510432,344.715747371125,270.785749333023,488.774471751642,495.039204288992,482.806839166081,341.834486422028,338.276284271004,318.520345074012
90416,96.9776234591727,114.417048242715,140.88338573256,142.072500946721,138.32542728905,139.868672176148,146.993060692837,152.546872097005,125.991426156886,138.98764832544,151.839923053462,128.388200629833
27079,188.46594747726,190.374584471073,185.372875963895,266.92409268778,285.433421390103,240.574116142975,309.31668599781,299.188703983804,293.33881662481,295.818305557524,267.161383600395,245.99571265716
100189229,10.0637156419896,3.84595120143581,2.11854715387309,11.8393750788934,9.88038766350358,13.4273925289102,7.2143833468877,11.8100804204133,5.77059967130774,5.63463439157189,2.88303651367333,22.5414398052378
57082,1485.77038205374,1549.91833417863,1548.65796948123,1742.54075024804,1853.12159733267,2029.77417062026,875.645778728495,916.2654059504,927.143013856777,1375.78989727547,1474.1926706583,1393.64901752383
