Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
,100189161,TRV-AAC4-1,2.68160413840157
ENSG00000196747,8329,H2AC13,-1.30948506815439
ENSG00000278828,8357,H3C10,-1.58831477124024
ENSG00000276368,8331,H2AC14,-1.14941450180459
ENSG00000273703,8342,H2BC14,-1.54205670576805
ENSG00000197238,8363,H4C11,-1.4602867986348
ENSG00000273542,8362,H4C12,-1.54432108812352
ENSG00000275221,8330,H2AC15,-1.46370058014866
ENSG00000276903,8332,H2AC16,-2.12199774748745
ENSG00000184357,3009,H1-5,-1.45605584755111
ENSG00000275379,8354,H3C11,-1.84149733763894
ENSG00000278677,8336,H2AC17,-1.1667472657797
ENSG00000274641,8348,H2BC17,-1.57340942481789
,221584,ZSCAN12P1,1.0539905918811
ENSG00000226314,651302,ZKSCAN8P1,1.94504719964126
ENSG00000227171,80352,RNF39,1.0281837301286
ENSG00000237155,8870,IER3,1.21196916629141
ENSG00000226850,534,ATP6V1G2,1.09499795105023
,100287329,LOC100287329,1.4055257556342
ENSG00000230279,4049,LTA,1.81045304120445
ENSG00000239497,58496,LY6G5B,1.1682225947143
ENSG00000230060,80739,MPIG6B,3.02411075116992
ENSG00000226704,3305,HSPA1L,1.51262051505069
ENSG00000234475,3303,HSPA1A,1.73671262767895
ENSG00000212866,3304,HSPA1B,1.69954805141974
ENSG00000243570,629,CFB,1.20107402452141
ENSG00000168477,7148,TNXB,1.14643913768064
ENSG00000230514,177,AGER,1.11197505514052
ENSG00000234243,63940,GPSM3,1.25524132728108
ENSG00000235396,4855,NOTCH4,1.40410957126492
ENSG00000239457,3112,HLA-DOB,1.63949375532596
ENSG00000235715,5696,PSMB8,2.03033834001818
ENSG00000232962,3111,HLA-DOA,3.42859048706989
ENSG00000112041,7287,TULP1,1.95853154391379
,112267956,,-1.62175786896694
ENSG00000124762,1026,CDKN1A,1.38429624997107
ENSG00000285244,108783646,DINOL,2.10336869905813
ENSG00000172738,221468,TMEM217,1.02327772167473
ENSG00000225945,107986593,ZFAND3-DT,1.99492533481122
ENSG00000234753,101060264,FOXP4-AS1,1.23505466000163
,105375061,LOC105375061,-4.31544224582595
ENSG00000112659,23113,CUL9,1.18750372018112
ENSG00000137270,8521,GCM1,-1.65369355678415
,647190,RPS16P5,1.10272876806261
ENSG00000151914,667,DST,-1.01739282377363
ENSG00000146166,51557,LGSN,5.97922087507823
ENSG00000188107,346007,EYS,-1.41641792969179
ENSG00000111799,1303,COL12A1,-1.05389036368728
,26799,SNORD50A,1.17609555134304
ENSG00000164411,375519,GJB7,2.02080259407585
ENSG00000146278,10957,PNRC1,1.24141669039645
,101929057,MDN1-AS1,-1.02554752196683
ENSG00000135333,2045,EPHA7,-1.20380183957023
ENSG00000172469,79694,MANEA,-1.00058215446606
,105377917,LOC105377917,-1.34886892980751
ENSG00000304752,102724443,LOC102724443,-1.90049185059691
ENSG00000287616,105377918,LOC105377918,-1.10236501731463
ENSG00000057657,639,PRDM1,1.47235190299495
ENSG00000112297,202,CRYBG1,-1.23679806082918
,112267965,,2.24180388277353
ENSG00000227954,100507308,TARID,-1.38392572912707
ENSG00000278899,645967,LOC645967,1.04106230589507
ENSG00000171217,49861,CLDN20,-1.48664249489334
ENSG00000078269,8871,SYNJ2,-1.01339167565985
ENSG00000146453,154197,PNLDC1,3.04036138742997
ENSG00000197081,3482,IGF2R,-1.08299928616998
,729603,CHP1P2,-1.96831524501794
ENSG00000286760,100289495,LOC100289495,1.9742201020958
,107986673,LOC107986673,-2.12090084362992
,107986755,,-1.38273462114936
ENSG00000178381,90637,ZFAND2A,1.05359844204359
,105375124,LOC105375124,-1.20749138096583
ENSG00000236081,101927125,ELFN1-AS1,-1.18854247508988
,100127955,LOC100127955,-2.11024687990025
ENSG00000174945,155185,AMZ1,-1.34159152275777
ENSG00000234432,100129484,LINC02983,1.84287086072386
ENSG00000234710,105375148,LOC105375148,-1.17862103499954
,105375146,LOC105375146,-1.03131670960978
ENSG00000237070,105375166,LOC105375166,-1.96367941606027
ENSG00000229688,100506025,CRPPA-AS1,-2.32167645315204
