gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
8529	978.4810839065082	-2.4588382405550626	0.2569645522626024	1.608598538573362e-22	4.0502385725730795e-21	8529	CYP4F2	ENSG00000186115	cytochrome P450 family 4 subfamily F member 2
4426	2118.3576275943333	-2.6021778846763994	0.2725792772869175	1.8249783806024556e-22	4.561587316310327e-21	4426	NA	NA	NA
4324	878.7752086301715	-2.8762646422495557	0.3018433950440975	1.8437348516507547e-22	4.600831804662427e-21	4324	MMP15	ENSG00000102996	matrix metallopeptidase 15
7409	1062.1601412671173	-2.3277241295415005	0.243598793313541	1.9638267091777667e-22	4.87872742017807e-21	7409	VAV1	ENSG00000141968	vav guanine nucleotide exchange factor 1
7893	784.4765150212511	-2.395584612086117	0.25104980310076097	2.171410823307459e-22	5.386447943201595e-21	7893	NA	NA	NA
2808	2436.16725007593	-2.2853702583900017	0.23943774373159152	2.281178811476839e-22	5.650382199358214e-21	2808	NA	NA	NA
8502	555.7346996925401	-2.843409621753242	0.2996374127040352	2.8306561452987105e-22	6.970230969238484e-21	8502	PKP4	ENSG00000144283	plakophilin 4
5525	1285.595058550489	-2.4846808047517444	0.2613488107537084	2.8668745958130397e-22	7.0490645303796e-21	5525	PPP2R5A	ENSG00000066027	protein phosphatase 2 regulatory subunit B'alpha
8538	498.3995893074766	-2.565214553119864	0.27028212073725516	3.2428571878378217e-22	7.938609077788677e-21	8538	BARX2	ENSG00000043039	BARX homeobox 2
5252	1520.6689563353307	-2.2942674685348288	0.24145263032461234	3.4260775581619073e-22	8.374911745308604e-21	5252	PHF1	ENSG00000112511	PHD finger protein 1
10927	315.210428706686	-3.103604126651232	0.328137504071904	3.4935588407124695e-22	8.527436419200494e-21	10927	SPIN1	ENSG00000106723	spindlin 1
8067	682.7169737609086	-2.4241510932174393	0.2557138672408153	3.8794960758258383e-22	9.455707804581902e-21	8067	NA	NA	NA
2476	2178.3994325857866	-2.1787405184989455	0.22964509515420753	4.27481133414725e-22	1.0404109036620498e-20	2476	NA	NA	NA
9301	290.428310298519	-3.0169613775645536	0.31974922676262474	4.575795756462602e-22	1.1072369269858784e-20	9301	SNORD27	ENSG00000275996	small nucleolar RNA, C/D box 27
4409	992.6580118124732	-2.408748767116518	0.2545360191305036	4.5932688080504375e-22	1.109863467466827e-20	4409	NA	NA	NA
6807	975.7825628555437	-2.866187978598291	0.30445812638382935	5.669425702049171e-22	1.3659568907710136e-20	6807	NA	NA	NA
12445	158.38464932150538	-3.8504571437826995	0.412055637498131	1.0041400352395795e-21	2.3884289717634764e-20	12445	NA	NA	NA
1224	3039.4795116662744	-2.8678714603568167	0.3070823763723452	1.141989854097927e-21	2.700991236018073e-20	1224	NA	NA	NA
9327	277.22420010501475	-3.1108175772042173	0.33412366288489276	1.4274112336927865e-21	3.357119071219402e-20	9327	NA	NA	NA
1089	9595.100493246771	-2.0686059274277575	0.22137143211455276	1.804305899181205e-21	4.219861314277493e-20	1089	CEACAM4	ENSG00000105352	CEA cell adhesion molecule 4
3957	2233.0694580833206	-2.4107743380012114	0.2590802933119391	2.0442898685694714e-21	4.7678298756664067e-20	3957	LGALS2	ENSG00000100079	galectin 2
4078	1073.3431061296058	-2.248911748904953	0.24216807072769986	3.781063907402747e-21	8.614763677070198e-20	4078	NA	NA	NA
3305	1160.2895359299298	-2.27850698524881	0.24717753099114861	5.0780595389174116e-21	1.1507294649744065e-19	3305	HSPA1L	ENSG00000204390	heat shock protein family A (Hsp70) member 1 like
8784	374.3481038087086	-2.6695775887884543	0.2910153867769219	6.180806577499497e-21	1.3912207449407928e-19	8784	TNFRSF18	ENSG00000186891	TNF receptor superfamily member 18
5401	2286.523162023844	-2.2304017364038358	0.2427378177340992	6.907797678392264e-21	1.5486211132213886e-19	5401	NA	NA	NA
346	21457.06420525994	-2.111361354842786	0.22955395588834596	6.923119498250859e-21	1.5499838566911703e-19	346	APOC4	ENSG00000267467	apolipoprotein C4
1279	4213.88726635949	-2.062991743610833	0.22456096695649036	7.970127914847391e-21	1.777274933564839e-19	1279	COL1AR	NA	collagen type I alpha receptor
3139	1250.8037638968967	-2.4529302127811796	0.26795327192342216	8.132793582442966e-21	1.8111396491897223e-19	3139	HLA-L	ENSG00000291097	major histocompatibility complex, class I, L (pseudogene)
2733	405.56770139564446	-2.90390435213442	0.3186601904132665	9.450879044929809e-21	2.0990965656215626e-19	2733	GLE1	ENSG00000119392	GLE1 RNA export mediator
10345	316.89123880908625	-3.2888196965460743	0.36173316992285187	1.0100412982064666e-20	2.2315392002139973e-19	10345	TRDN	ENSG00000186439	triadin
7431	611.3465491568209	-2.4799174366826753	0.27162985334841766	1.0121029098734195e-20	2.2331518020614965e-19	7431	VIM	ENSG00000026025	vimentin
7341	790.6251970572388	-2.8963426381031416	0.31811837980294994	1.0224975834650848e-20	2.253122467427859e-19	7341	SUMO1	ENSG00000116030	small ubiquitin like modifier 1
1508	1048.4988595300772	-2.486865842829226	0.2727290222898007	1.1135374496737464e-20	2.4473013753052495e-19	1508	CTSB	ENSG00000164733	cathepsin B
10804	422.5789848953676	-2.844775152773859	0.31276225039990285	1.133572254550266e-20	2.484820017850119e-19	10804	GJB6	ENSG00000121742	gap junction protein beta 6
7445	1391.8411630134901	-2.1869672613649507	0.23979445050786963	1.3431401051276819e-20	2.9403546243976633e-19	7445	NA	NA	NA
5072	788.7950401569591	-2.2761555075261004	0.2508751798437475	1.95111568509113e-20	4.2000332379066954e-19	5072	PARK3	NA	Parkinson disease 3 (autosomal dominant, Lewy body)
3761	1493.3176713456921	-2.1977959382770766	0.24291349513413532	2.593141177584793e-20	5.560662967636751e-19	3761	KCNJ4	ENSG00000168135	potassium inwardly rectifying channel subfamily J member 4
454	3021.8365776031587	-2.2739236732820842	0.25172776865593133	2.78325457353864e-20	5.945528145690376e-19	454	ASS1P9	ENSG00000217791	argininosuccinate synthetase 1 pseudogene 9
6477	777.6356231464537	-2.805629643474166	0.31186059228728746	2.809429691883805e-20	5.986191423532342e-19	6477	SIAH1	ENSG00000196470	siah E3 ubiquitin protein ligase 1
2501	2305.05083653122	-2.061880028124851	0.2278386878771383	2.8214778507839685e-20	6.00423376647162e-19	2501	FTH1P8	NA	ferritin heavy chain 1 pseudogene 8
6189	961.0908453392476	-2.2139210445328823	0.24534445078360934	3.202977775888769e-20	6.77310647211586e-19	6189	RPS3A	ENSG00000145425	ribosomal protein S3A
2974	859.0811378215827	-2.36237659437169	0.26242162827819693	3.5037903559360843e-20	7.390573645118515e-19	2974	GUCY1B2	ENSG00000123201	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)
1158	1683.4086673808565	-2.318207976911637	0.25794816551144567	4.10882916627358e-20	8.612619536155208e-19	1158	CKM	ENSG00000104879	creatine kinase, M-type
4609	2465.966508253797	-2.680056951070831	0.2990150314137789	4.188888368809253e-20	8.758537288848174e-19	4609	MYC	ENSG00000136997	MYC proto-oncogene, bHLH transcription factor
9606	751.0054425061284	-2.6375024756220338	0.2942834073447919	4.22671837843867e-20	8.826630197763147e-19	9606	NA	NA	NA
4384	2500.634505646017	-2.345066231359153	0.2615640683786463	4.8706306714477754e-20	1.0120892903284727e-18	4384	MRX20	NA	mental retardation, X-linked 20
10481	419.6522592130809	-2.530290663784932	0.28256871658582694	4.9169324068063794e-20	1.0204460337838635e-18	10481	HOXB13	ENSG00000159184	homeobox B13
1183	2193.03442436542	-2.0769714604730085	0.23149158229542008	5.646719211473186e-20	1.1675688589049796e-18	1183	CLCN4	ENSG00000073464	chloride voltage-gated channel 4
6864	389.70150459158896	-2.6087240590855862	0.2920707501961634	5.829105642329674e-20	1.2037964595594373e-18	6864	NA	NA	NA
9984	546.8434913511096	-2.5300032552752914	0.2836652793747543	6.712977942230869e-20	1.3803983534873941e-18	9984	THOC1	ENSG00000079134	THO complex subunit 1
3547	1266.9481534181075	-2.3799613340647348	0.2665967462123125	6.808069302192176e-20	1.3973624740325654e-18	3547	IGSF1	ENSG00000147255	immunoglobulin superfamily member 1
7794	464.74823485774715	-2.433311547673067	0.27332339262377875	8.357967587803351e-20	1.7112913123305784e-18	7794	NA	NA	NA
6255	613.390933651411	-2.4893073770564254	0.280035389406923	9.013208020448406e-20	1.840955971923256e-18	6255	NA	NA	NA
4884	1579.6357535463612	-2.4021463671382715	0.27008024591822244	9.074967400094505e-20	1.8513154298319315e-18	4884	NPTX1	ENSG00000171246	neuronal pentraxin 1
6350	520.5416053174696	-2.440344329389395	0.27443875546098934	9.113307564001832e-20	1.8568779409568255e-18	6350	NA	NA	NA
3974	561.8403529262498	-2.8087119671982848	0.31709981520915964	9.999984152615373e-20	2.0301420612010555e-18	3974	NA	NA	NA
10098	187.41138231221592	-3.173179094776851	0.3600660294631924	1.4142652056010986e-19	2.836819764680003e-18	10098	TSPAN5	ENSG00000168785	tetraspanin 5
7983	469.7598377725794	-2.6758080339844277	0.3041222910133826	1.8188743743486899e-19	3.609550814609844e-18	7983	NA	NA	NA
9031	255.64680083951103	-3.3602446010304723	0.3835830827476856	1.9776347561761628e-19	3.9107260880092075e-18	9031	BAZ1B	ENSG00000009954	bromodomain adjacent to zinc finger domain 1B
7952	358.1186354937447	-2.7003306701352874	0.3078566707492111	2.3084212597033334e-19	4.5327770613542385e-18	7952	TNDM	NA	diabetes mellitus, transient neonatal
6731	665.8927940264975	-2.708844981454518	0.3088785956595172	2.325331152846275e-19	4.560640713693472e-18	6731	SRP72	ENSG00000174780	signal recognition particle 72
5954	889.3758873063761	-2.308883187192406	0.2625092566799511	2.3348655922883973e-19	4.57399078470609e-18	5954	RCN1	ENSG00000049449	reticulocalbin 1
13080	139.82564698536885	-4.640356851441635	0.5304033451375019	2.4526400248813177e-19	4.782362857818002e-18	13080	NA	NA	NA
9344	285.81291088610016	-2.8157385680200906	0.3215756879291738	2.5364241712256873e-19	4.9342571841396236e-18	9344	TAOK2	ENSG00000149930	TAO kinase 2
626	6152.592505436036	-2.1068313290794816	0.2395120031767919	2.624668544405761e-19	5.100007742889943e-18	626	NA	NA	NA
660	11423.16620874999	-2.4485161848601247	0.2801091179640508	3.3155335481778835e-19	6.390595640160336e-18	660	BMX	ENSG00000102010	BMX non-receptor tyrosine kinase
2934	2302.3009305186406	-2.2420171940370954	0.2562984149754513	3.712110726564055e-19	7.122240820795496e-18	2934	GSN	ENSG00000148180	gelsolin
3320	989.8960682068466	-2.159655739142617	0.24691001355023465	4.0137381461188076e-19	7.683376138386562e-18	3320	HSP90AA1	ENSG00000080824	heat shock protein 90 alpha family class A member 1
7585	370.8746357122633	-2.617201875208341	0.3006053290014073	4.32345357230094e-19	8.258477614512845e-18	7585	NA	NA	NA
5522	1225.4629586050175	-2.1238823462770546	0.24375678372100681	5.853481485061774e-19	1.1091189946101795e-17	5522	PPP2R2C	ENSG00000074211	protein phosphatase 2 regulatory subunit Bgamma
8722	460.59361356804357	-2.523493449632351	0.29088374143541196	5.933193035021492e-19	1.122953882666765e-17	8722	CTSF	ENSG00000174080	cathepsin F
2855	1055.6367331314875	-2.2495346099251172	0.25880129134886365	6.077016574471616e-19	1.1475843574021906e-17	2855	GPR32P1	NA	GPR32 pseudogene 1
6754	1200.9803777252398	-2.20377780144722	0.2534345036745735	6.089638662974144e-19	1.1486743615232105e-17	6754	SSTR4	ENSG00000132671	somatostatin receptor 4
