Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000065268,57418,WDR18,-1.116093231748064
ENSG00000087085,43,ACHE,1.2488138140391185
ENSG00000293339,10354,HMGB1P5,-1.0163175507481772
ENSG00000109971,3312,HSPA8,2.0330127941415324
ENSG00000136378,11173,ADAMTS7,1.1767049108128973
ENSG00000099783,4670,HNRNPM,-1.7044527663228868
ENSG00000100139,85377,MICALL1,1.06346157074818
ENSG00000095585,29760,BLNK,1.6526632316715524
ENSG00000256664,,,1.0953978728122449
ENSG00000172164,6641,SNTB1,-1.078667558716469
ENSG00000166965,91433,RCCD1,-1.3319103388032465
ENSG00000161692,80174,DBF4B,-1.1306410078241005
ENSG00000158089,79623,GALNT14,-1.332115328098657
ENSG00000123066,23389,MED13L,-1.337283689603944
ENSG00000123136,10212,DDX39A,-1.4131470928682832
ENSG00000201185,100873463,RNA5SP202,5.133851804548675
ENSG00000164104,3148,HMGB2,-2.3038561982048704
ENSG00000163071,132671,SPATA18,1.0648659874158932
ENSG00000167513,81620,CDT1,-1.650423723430566
ENSG00000182985,23705,CADM1,-1.60005312387405
ENSG00000158109,127262,TPRG1L,1.0689962707744636
ENSG00000014138,23649,POLA2,-1.547804556537551
ENSG00000119403,26147,PHF19,-1.3847525198890511
ENSG00000132793,64900,LPIN3,1.325723359532231
ENSG00000120334,91687,CENPL,-1.5324721842709508
ENSG00000142156,1291,COL6A1,1.0171489043586175
ENSG00000113448,5144,PDE4D,-1.6581212699347905
ENSG00000163840,151636,DTX3L,1.226218398206833
ENSG00000142484,9032,TM4SF5,-1.6990581153335769
ENSG00000085117,3732,CD82,2.4347058857691324
ENSG00000135679,4193,MDM2,1.0563018052101008
ENSG00000131470,29893,PSMC3IP,-1.241078459216724
ENSG00000170581,6773,STAT2,1.51630994801593
ENSG00000145555,4651,MYO10,-1.5974563884701007
ENSG00000115414,2335,FN1,-1.817522513118193
ENSG00000162063,899,CCNF,-1.090412189623297
ENSG00000163565,3428,IFI16,2.271739408762857
ENSG00000178821,339456,TMEM52,1.1055184384465253
ENSG00000075223,10512,SEMA3C,-1.7005771428304932
ENSG00000120211,3641,INSL4,-2.41029790651429
ENSG00000149554,1111,CHEK1,-1.2122801622375308
ENSG00000291314,,,-1.5373523491163883
ENSG00000126215,7517,XRCC3,-1.3530922205164213
ENSG00000168476,80346,REEP4,-1.0570102684130471
ENSG00000165887,26287,ANKRD2,-2.4260225818759715
ENSG00000183814,286826,LIN9,-1.0456957293382734
ENSG00000130589,85441,HELZ2,1.8184565369369632
ENSG00000161888,147841,SPC24,-1.7944747694445862
ENSG00000012822,57658,CALCOCO1,1.313592326691556
ENSG00000127191,7186,TRAF2,-1.2365152047694297
ENSG00000059122,84256,FLYWCH1,1.5321052317065131
ENSG00000136997,4609,MYC,-1.636740469745944
ENSG00000144596,80852,GRIP2,1.2101465896902002
ENSG00000144642,27303,RBMS3,-1.3157950179608102
ENSG00000128346,84645,C22orf23,1.0654470539969272
ENSG00000101187,28231,SLCO4A1,1.0775135530732605
ENSG00000167105,162461,TMEM92,1.1188808485887036
ENSG00000187741,2175,FANCA,-1.0801829897545163
ENSG00000127337,8089,YEATS4,-1.184657214848397
ENSG00000127415,3425,IDUA,1.0452889522377968
ENSG00000130005,2593,GAMT,1.0995382485151897
ENSG00000285077,89839,ARHGAP11B,-1.3679870990814096
ENSG00000143369,1893,ECM1,1.6009446557312814
ENSG00000088992,54997,TESC,-1.919835694422301
ENSG00000161642,25946,ZNF385A,1.5354762798231278
ENSG00000165949,3429,IFI27,2.3361054272208728
ENSG00000185745,3434,IFIT1,3.0536025058009035
ENSG00000127586,63922,CHTF18,-1.1910883226433933
ENSG00000170558,1000,CDH2,-1.5430540277036302
ENSG00000205476,317762,CCDC85C,-1.4737143878670145
ENSG00000260912,,,1.0337435115920968
ENSG00000207005,26870,RNU1-2,1.8834615516845088
ENSG00000141505,432,ASGR1,-1.1294677280432366
ENSG00000126391,83786,FRMD8,1.104258359904584
ENSG00000167775,51293,CD320,-1.1705425035086767
ENSG00000134871,1284,COL4A2,-1.6143955166494033
ENSG00000184363,11187,PKP3,-1.4293005155937195
ENSG00000164171,3673,ITGA2,1.2832723144277352
ENSG00000123080,1031,CDKN2C,-1.2964486950950806
ENSG00000092853,63967,CLSPN,-1.0321787151213953
ENSG00000101447,81610,FAM83D,-1.3115901252938102
ENSG00000249835,105379054,VCAN-AS1,-1.7450647669146866
ENSG00000087076,51171,HSD17B14,1.2701153410344457
ENSG00000101665,4092,SMAD7,-1.0501532898532728
ENSG00000100196,11015,KDELR3,1.3803604595967451
ENSG00000171492,55144,LRRC8D,-1.018860735060711
ENSG00000185483,4919,ROR1,-1.8492812400256868
