Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000120334,91687,CENPL,-1.536800323394401
ENSG00000128283,11135,CDC42EP1,-1.864976388925689
ENSG00000185189,340371,NRBP2,1.339283723670163
ENSG00000149150,8501,SLC43A1,-1.430637999335146
ENSG00000158109,127262,TPRG1L,1.0608536089420069
ENSG00000136518,86,ACTL6A,-1.22299581571751
ENSG00000105135,10994,HACL2,-1.0126789255271
ENSG00000185347,283643,TEDC1,-1.2279052215765485
ENSG00000119986,60370,AVPI1,-1.4202174632951683
ENSG00000126391,83786,FRMD8,1.1582808851483437
ENSG00000199334,100169762,RNA5S11,3.4248367605385472
ENSG00000213853,2013,EMP2,-1.0017430725195309
ENSG00000080839,5933,RBL1,-1.1391232308179762
ENSG00000114405,57415,CEP15,-1.1492021455847508
ENSG00000077312,6626,SNRPA,-1.1008038615334297
ENSG00000143473,3756,KCNH1,-1.1418367643451457
ENSG00000262903,,CTNS-AS1,1.3105164914200151
ENSG00000263585,,PYCR1-AS1,-1.3756462458725442
ENSG00000076003,4175,MCM6,-1.2936251448802245
ENSG00000161513,2232,FDXR,1.033908853081603
ENSG00000198860,116461,TSEN15,-1.5029039398710915
ENSG00000065268,57418,WDR18,-1.0607235584856878
ENSG00000258736,,,-1.0517230996582814
ENSG00000090861,16,AARS1,-2.3730345707078744
ENSG00000255135,124902718,EMSY-DT,-1.001183387463493
ENSG00000291174,101927789,FAUP4,1.4352820865645768
ENSG00000136378,11173,ADAMTS7,1.1156973636181469
ENSG00000132967,10354,HMGB1P5,-1.4103485190856029
ENSG00000198517,7975,MAFK,-1.4221573772101497
ENSG00000166037,9702,CEP57,-1.0580259116112671
ENSG00000163071,132671,SPATA18,1.0195915204737696
ENSG00000115129,9540,TP53I3,1.397704545413366
ENSG00000188486,3014,H2AX,-1.531911854233769
ENSG00000131016,9590,AKAP12,-1.202818961685952
ENSG00000293495,84798,C19orf48P,-1.328224812743895
ENSG00000115875,6432,SRSF7,-1.5470787151397678
ENSG00000134222,84722,PSRC1,-1.078368301269666
ENSG00000167105,162461,TMEM92,1.1137845346991235
ENSG00000233133,,NPEPPSP2,1.1008406599120768
ENSG00000178752,151176,ERFE,-1.4423811001300824
ENSG00000109971,3312,HSPA8,1.902298866818704
ENSG00000183814,286826,LIN9,-1.020160206148643
ENSG00000171492,55144,LRRC8D,-1.033470152811521
ENSG00000132274,10346,TRIM22,1.56285726651451
ENSG00000121621,81930,KIF18A,-1.8172488957241133
ENSG00000161888,147841,SPC24,-1.741898874873644
ENSG00000173805,9001,HAP1,1.2529551302444215
ENSG00000125657,8744,TNFSF9,1.5776772347803
ENSG00000184922,752,FMNL1,-1.1317243996968362
ENSG00000077684,79960,JADE1,-1.5823438027020704
ENSG00000121775,55116,TMEM39B,-1.4208284671873364
ENSG00000130810,56342,PPAN,-1.0509789815449202
ENSG00000182628,348235,SKA2,-1.3418758136908595
ENSG00000070814,6949,TCOF1,-1.1300207472432362
ENSG00000127528,10365,KLF2,-1.4955395417514443
ENSG00000178966,80010,RMI1,-1.077876005544257
ENSG00000123066,23389,MED13L,-1.2384938231281568
ENSG00000171790,200172,SLFNL1,-1.3005173889805606
ENSG00000105281,6510,SLC1A5,-2.144636815850946
ENSG00000187837,3006,H1-2,1.3326445292755036
ENSG00000227693,170523,GSTM3P1,1.116135693942982
ENSG00000127129,1907,EDN2,-1.3277098455179634
ENSG00000109534,54433,GAR1,-1.0049044585094338
ENSG00000129521,112399,EGLN3,1.2785781111536272
ENSG00000140025,90141,EFCAB11,-1.4529550584316633
ENSG00000127191,7186,TRAF2,-1.1686342620052566
ENSG00000123080,1031,CDKN2C,-1.262916276574967
ENSG00000140443,3480,IGF1R,-1.0227004195434692
ENSG00000144847,152404,IGSF11,-1.2964879788953938
ENSG00000137491,11309,SLCO2B1,1.3163414962744395
ENSG00000161544,114757,CYGB,1.917576366720514
ENSG00000167635,7705,ZNF146,-1.2989091867751892
ENSG00000184897,8971,H1-10,-1.7497455301925626
ENSG00000079819,2037,EPB41L2,-1.0573221907914334
ENSG00000184220,84319,CMSS1,-1.2134646050064903
ENSG00000290697,,,1.3439713420825594
ENSG00000164167,11157,LSM6,-1.0797051379700635
ENSG00000123136,10212,DDX39A,-1.2721494796414143
ENSG00000120129,1843,DUSP1,-1.524598874862976
ENSG00000008405,1407,CRY1,-1.6367971212192305
ENSG00000273175,,,-1.180201870173585
ENSG00000214548,55384,MEG3,2.0770907269821297
ENSG00000213707,,HMGB1P10,-1.117162033905975
ENSG00000134809,26519,TIMM10,-1.014142136919122
ENSG00000183098,10082,GPC6,-1.092547713902266
ENSG00000197582,,GPX1P1,1.0525526786963582
ENSG00000257453,120766149,PHLDA1-AS1,-1.464497372749145
ENSG00000288859,723790,H2AC19,1.0488298760971977
ENSG00000111981,80329,ULBP1,-2.7024622013398303
ENSG00000179242,1002,CDH4,-1.19078486209639
ENSG00000288825,8337,H2AC18,1.0457631847161402
ENSG00000025770,29781,NCAPH2,-1.1147494049054143
ENSG00000005469,54677,CROT,1.124323687010754
ENSG00000185924,146760,RTN4RL1,1.1577113685987666
ENSG00000088002,6820,SULT2B1,-2.3706008536358603
ENSG00000172936,4615,MYD88,1.077566684015924
ENSG00000080824,3320,HSP90AA1,1.3013377439615468
ENSG00000128564,7425,VGF,-1.6740471722443195
ENSG00000104980,10469,TIMM44,-1.227075230405183
ENSG00000104419,10397,NDRG1,-1.3073277485839083
ENSG00000145040,90226,UCN2,1.0780230760486496
ENSG00000229656,101929475,ITGB1-DT,-1.1369979779988126
ENSG00000112531,9444,QKI,-1.2251456305772743
ENSG00000134684,8565,YARS1,-1.3954506703696508
ENSG00000106462,2146,EZH2,-1.1070892782129365
ENSG00000153015,10283,CWC27,-1.1571019083191096
ENSG00000200381,100169755,RNA5S4,3.6150128131814734
ENSG00000199270,100169763,RNA5S12,3.645443698563088
ENSG00000134954,2113,ETS1,-1.4856616316600864
ENSG00000115902,6509,SLC1A4,-2.418137930769296
