logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL	contrast	direction
-1.3927805938823465	2.4022091879929626	-6.48323484563764	4.636306965694786e-5	0.0010882173633211373	2.1274235884087567	ENSG00000140025	Merge_vs_Mock	Down
-1.2712576498318138	2.043764171174469	-6.474698047923905	4.690696330168219e-5	0.0010977067036938306	2.115291027356564	ENSG00000101945	Merge_vs_Mock	Down
-2.6606855297326932	6.265964095333957	-6.459762445779393	4.7875031312738804e-5	0.00111242085853424	2.094040161538249	ENSG00000150938	Merge_vs_Mock	Down
-1.214189309767446	3.9045723590997365	-6.4363945220668874	4.94328034632395e-5	0.0011374129574212922	2.060729464454159	ENSG00000196588	Merge_vs_Mock	Down
-2.4075915152503313	2.1553636787523858	-6.434803526068747	4.9540818237035646e-5	0.0011374129574212922	2.0584587634218963	ENSG00000273760	Merge_vs_Mock	Down
-1.4544863101697763	4.8763659516788005	-6.417786925833037	5.0712025077901905e-5	0.0011541205591535245	2.034150344156961	ENSG00000122870	Merge_vs_Mock	Down
-1.0491971022519437	3.1969625125322816	-6.405733916887542	5.1559509954830925e-5	0.0011717122161122415	2.0169081254916783	ENSG00000104450	Merge_vs_Mock	Down
-1.3229026406349602	4.914454280876354	-6.394133805918978	5.2389474233178154e-5	0.0011837311376306891	2.0002947069356676	ENSG00000188529	Merge_vs_Mock	Down
-1.7579054885971637	6.675312719175294	-6.390535174726541	5.2649845101126764e-5	0.001187907408981807	1.9951370214546724	ENSG00000106541	Merge_vs_Mock	Down
-1.1392567919175778	1.0926691837080305	-6.38744757283615	5.2874345198883695e-5	0.0011911931056572277	1.9907103238579484	ENSG00000170959	Merge_vs_Mock	Down
-1.9442496931072104	4.263507262811828	-6.37440290368029	5.383419168279171e-5	0.001200846097026358	1.971993511807982	ENSG00000137731	Merge_vs_Mock	Down
-1.7256561130285957	4.590125969712275	-6.3653702995850505	5.4509737612890413e-5	0.001210762900706659	1.9590194117196482	ENSG00000164548	Merge_vs_Mock	Down
-1.46233840837071	3.7163676886394184	-6.354135176803951	5.536268975148708e-5	0.0012252799886095119	1.942865814221575	ENSG00000112118	Merge_vs_Mock	Down
-1.1031177914725196	5.319281576579432	-6.351655195387212	5.555288260705723e-5	0.0012252799886095119	1.9392977815677614	ENSG00000141510	Merge_vs_Mock	Down
-1.4361325472591142	3.627931624243351	-6.331185125626887	5.7149709800022406e-5	0.0012532387881370507	1.909814002250803	ENSG00000178921	Merge_vs_Mock	Down
-1.0051655592022657	2.6999198744423736	-6.330595486998915	5.719642751241738e-5	0.0012532387881370507	1.9089638570449274	ENSG00000115290	Merge_vs_Mock	Down
-1.0850434906343338	0.8798592263377595	-6.330311213540116	5.7218965400127326e-5	0.0012532387881370507	1.9085539721700915	ENSG00000261448	Merge_vs_Mock	Down
-1.1126070547484876	1.286590416840573	-6.317486273652464	5.8245703498042666e-5	0.0012686591872717713	1.890050345873906	ENSG00000178295	Merge_vs_Mock	Down
-1.0744166545037	3.344779702779249	-6.301048488718487	5.9590579485695496e-5	0.001294366647779071	1.8663005176827099	ENSG00000151718	Merge_vs_Mock	Down
-3.115255729112164	5.559107577170587	-6.291882577427154	6.035488658918638e-5	0.001307356675621963	1.8530408939746206	ENSG00000142871	Merge_vs_Mock	Down
-1.0120334766919594	3.2842949295189174	-6.287099456807754	6.075788722403842e-5	0.0013113289127254664	1.8461168458037456	ENSG00000063180	Merge_vs_Mock	Down
-1.0669222734901993	5.415095622456247	-6.263029139420975	6.28300645454066e-5	0.001340818387495698	1.8112239632688159	ENSG00000164251	Merge_vs_Mock	Down
-1.6356518137653433	4.212509114602773	-6.254862796451632	6.355015304906803e-5	0.0013505266308778973	1.7993673819030445	ENSG00000038427	Merge_vs_Mock	Down
-1.1114053385081704	5.041233507924641	-6.25171325092006	6.38302254185188e-5	0.0013546479418780387	1.7947921063712098	ENSG00000273175	Merge_vs_Mock	Down
-1.6156503216531068	3.4675188791034093	-6.238023721790937	6.506298412536338e-5	0.001367727031876016	1.7748894428870017	ENSG00000064651	Merge_vs_Mock	Down
